Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Publication Type,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Source Title,Book Series Title,Book Series Subtitle,Language,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,Venue,Citations
Meadows H.; Frangou G.,"Meadows, Howard (57212002108); Frangou, George (57212005803)",57212002108; 57212005803,Virtual Reality Rendered Video Precognition with Deep Learning for Crowd Management,2020.0,Advances in Intelligent Systems and Computing,1069,,,334,345,11.0,1.0,10.1007/978-3-030-32520-6_27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075656204&doi=10.1007%2f978-3-030-32520-6_27&partnerID=40&md5=b38ff1e8aee22f5425a4da6c460451bb,Conference paper,Scopus,2-s2.0-85075656204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liang M.; Xu J.; Chen Y.; Li S.,"Liang, Mengdi (57211587814); Xu, Jie (56146777200); Chen, Yiwen (57210175173); Li, Siyao (57216591307)",57211587814; 56146777200; 57210175173; 57216591307,Research on pedestrian traversal time in T-shaped passage,2020.0,Lecture Notes in Electrical Engineering,640,,,163,173,10.0,0.0,10.1007/978-981-15-2914-6_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083966005&doi=10.1007%2f978-981-15-2914-6_17&partnerID=40&md5=f807220d651fe7510ce969a9bedabf9b,Conference paper,Scopus,2-s2.0-85083966005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernandez J.J.; Paringit M.C.; Salvador J.R.; Lucero P.I.; Galupino J.G.,"Fernandez, Jerold Joseph (57219307105); Paringit, Maria Cecilia (55842055300); Salvador, Justin Roi (57219306520); Lucero, Paolo Ian (57219307235); Galupino, Joenel G. (56800909000)",57219307105; 55842055300; 57219306520; 57219307235; 56800909000,"Understanding of traffic signs by drivers in the city of Manila, Philippines",2020.0,Transportation Research Procedia,48,,,3037,3048,11.0,3.0,10.1016/j.trpro.2020.08.183,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092160512&doi=10.1016%2fj.trpro.2020.08.183&partnerID=40&md5=b18af85242786010fc080ff385508c63,Conference paper,Scopus,2-s2.0-85092160512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ma Z.; Xiao Y.; Chen X.,"Ma, Zhichao (57216341733); Xiao, Yiqiang (42862811300); Chen, Xiong (57216357143)",57216341733; 42862811300; 57216357143,Research on commercial space vitality of airport terminal based on 3d vision field simulation of pedestrian flows: Taking Guangzhou baiyun international airport terminal 2 as a study case,2020.0,"RE: Anthropocene, Design in the Age of Humans - Proceedings of the 25th International Conference on Computer-Aided Architectural Design Research in Asia, CAADRIA 2020",1,,,589,598,9.0,1.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091328414&partnerID=40&md5=bd9c79570bb47d35e64afb653b3b6d4c,Conference paper,Scopus,2-s2.0-85091328414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huang, BQ; Mao, GQ; Qin, Y; Wei, Y",,,Pedestrian Flow Estimation Through Passive WiFi Sensing,,,20.0,4.0,,,,,,10.1109/TMC.2019.2959610,,,,,J,,,,"Huang, Baoqi; Mao, Guoqiang; Qin, Yong; Wei, Yun",,,IEEE TRANSACTIONS ON MOBILE COMPUTING,,,,,,,,,,,,,,,,"Mao, Guoqiang/Q-4196-2019","Mao, Guoqiang/0000-0002-3598-4949; Huang, Baoqi/0000-0003-4027-1756",,,,,,,,,,,,,1536-1233,1558-0660,,,,Apr-01,2021.0,,,,,1529.0,1542.0,,http://dx.doi.org/10.1109/TMC.2019.2959610,,,,,,,,,,,,,WOS:000626524300020,View Full Record in Web of Science,,
"Papathanasopoulou, V; Spyropoulou, I; Perakis, H; Gikas, V; Andrikopoulou, E",,,A Data-Driven Model for Pedestrian Behavior Classification and Trajectory Prediction,,,3.0,,,,,,,10.1109/OJITS.2022.3169700,,,,,J,,,,"Papathanasopoulou, Vasileia; Spyropoulou, Ioanna; Perakis, Harris; Gikas, Vassilis; Andrikopoulou, Eleni",,,IEEE OPEN JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS,,,,,,,,,,,,,,,,"Papathanasopoulou, Vasileia/JQI-8851-2023","spyropoulou, ioanna/0000-0001-7801-3395; Perakis, Harris/0000-0003-4574-1091",,,,,,,,,,,,,,2687-7813,,,,,2022.0,,,,,328.0,339.0,,http://dx.doi.org/10.1109/OJITS.2022.3169700,,,,,,,,,,,,,WOS:000791755300001,View Full Record in Web of Science,,
"Angel, A; Plaut, P",,,Pedestrian Movement and the Built Environment - A Big Data-Based Analysis,,,,,,,,,,10.1007/978-3-031-23721-8_61,,,,,C,,"Nathanail, EG; Gavanas, N; Adamos, G",,"Angel, Avital; Plaut, Pnina",,,"SMART ENERGY FOR SMART TRANSPORT, CSUM2022",Lecture Notes in Intelligent Transportation and Infrastructure,,,6th Conference on Sustainable Urban Mobility (CSUM) - Smart Energy for Smart Transport,"AUG 31-SEP 02, 2022",GREECE,,,,,,,,,,,,,,,,,,,,,,,,2523-3440,2523-3459,978-3-031-23720-1; 978-3-031-23721-8,,,,2023.0,,,,,728.0,728.0,,http://dx.doi.org/10.1007/978-3-031-23721-8_61,,,,,,,,,,,,,WOS:001000789400061,View Full Record in Web of Science,,
"Ruan, L; Zhang, L; Zhou, T; Long, Y",,,An Improved Bluetooth Indoor Positioning Method Using Dynamic Fingerprint Window,,,20.0,24.0,,,,,,10.3390/s20247269,,,,,J,,,,"Ruan, Ling; Zhang, Ling; Zhou, Tong; Long, Yi",,,SENSORS,,,,,,,,,,,,,,,,,"Zhang, Ling/0000-0002-3228-8374",,,,,,,,,,,,,,1424-8220,,,,DEC,2020.0,,,,,,,7269,http://dx.doi.org/10.3390/s20247269,,,,,,,,33352918.0,,,,,WOS:000603177300001,View Full Record in Web of Science,,
"Alitaleshi, A; Jazayeriy, H; Kazemitabar, J",,,Indoor Pedestrian Trajectory Reconstruction Using Spatial-Temporal Error Correction and Dynamic Time Warping-Based Path Matching for Fingerprints Map Creation,,,48.0,2.0,,,,,,10.1007/s13369-022-07095-8,,,,,J,,,,"Alitaleshi, Atefe; Jazayeriy, Hamid; Kazemitabar, Javad",,,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,,,,,,,,,,,,,,,,"Alitaleshi, Atefe/H-5271-2019","Alitaleshi, Atefe/0000-0002-4040-4603; Jazayeriy, Hamid/0000-0002-1515-8957",,,,,,,,,,,,,2193-567X,2191-4281,,,,FEB,2023.0,,,,,2101.0,2119.0,,http://dx.doi.org/10.1007/s13369-022-07095-8,,Aug-22,,,,,,,,,,,WOS:000838550000007,View Full Record in Web of Science,,
"Li, Y; Sarvi, M; Khoshelham, K; Zhang, YY; Jiang, YZ",,,Pedestrian Origin-Destination Estimation Based on Multi-Camera Person Re-Identification,,,22.0,19.0,,,,,,10.3390/s22197429,,,,,J,,,,"Li, Yan; Sarvi, Majid; Khoshelham, Kourosh; Zhang, Yuyang; Jiang, Yazhen",,,SENSORS,,,,,,,,,,,,,,,,"; Khoshelham, Kourosh/A-3789-2010","Zhang, Yuyang/0000-0001-9207-4039; Khoshelham, Kourosh/0000-0001-6639-1727",,,,,,,,,,,,,,1424-8220,,,,OCT,2022.0,,,,,,,7429,http://dx.doi.org/10.3390/s22197429,,,,,,,,36236528.0,,,,,WOS:000867181300001,View Full Record in Web of Science,,
"Kwok, CYT; Wong, MS; Griffiths, S; Wong, FYY; Kam, R; Chin, DCW; Xiong, GJ; Mok, E",,,Performance Evaluation of iBeacon Deployment for Location-Based Services in Physical Learning Spaces,,,10.0,20.0,,,,,,10.3390/app10207126,,,,,J,,,,"Kwok, Coco Yin Tung; Wong, Man Sing; Griffiths, Sion; Wong, Fiona Yan Yan; Kam, Roy; Chin, David C. W.; Xiong, Guanjing; Mok, Esmond",,,APPLIED SCIENCES-BASEL,,,,,,,,,,,,,,,,"Wong, Frances K Y/E-5787-2014; Wong, Man Sing/A-2718-2014","GRIFFITHS, SION/0000-0002-1500-1394; Chin, David/0000-0002-7868-038X; Wong, Man Sing/0000-0002-6439-6775; Wong, Fiona/0000-0002-6805-1563",,,,,,,,,,,,,,2076-3417,,,,OCT,2020.0,,,,,,,7126,http://dx.doi.org/10.3390/app10207126,,,,,,,,,,,,,WOS:000585220500001,View Full Record in Web of Science,,
"Zaidi, SMA; Chandola, V; Yoo, EH",,,DST-Predict: Predicting Individual Mobility Patterns From Mobile Phone GPS Data,,,9.0,,,,,,,10.1109/ACCESS.2021.3134586,,,,,J,,,,"Zaidi, Syed Mohammed Arshad; Chandola, Varun; Yoo, Eun-Hye",,,IEEE ACCESS,,,,,,,,,,,,,,,,,"Zaidi, Syed Mohammed Arshad/0000-0002-7579-8892",,,,,,,,,,,,,2169-3536,,,,,,2021.0,,,,,167592.0,167604.0,,http://dx.doi.org/10.1109/ACCESS.2021.3134586,,,,,,,,35813002.0,,,,,WOS:000736734800001,View Full Record in Web of Science,,
"Moreira, LSCM; Leao, ALF; Urbano, MR; Kanashiro, M",,,"MICROSCALE, PEDESTRIAN MOVEMENT AND SOCIOECONOMIC LEVELS: AN EMPIRICAL STUDY",,,17.0,1.0,,,,,,10.4013/arq.2021.171.02,,,,,J,,,,"Correia Marques Moreira, Lauren Santos; Favarao Leao, Ana Luiza; Urbano, Mariana Ragassi; Kanashiro, Milena",,,ARQUITETURA REVISTA,,,,,,,,,,,,,,,,"Kanashiro, Milena/AAK-8709-2021; Urbano, Mariana Ragassi/AAQ-5622-2021","Kanashiro, Milena/0000-0002-8796-4237; Urbano, Mariana Ragassi/0000-0002-5411-5554",,,,,,,,,,,,,1808-5741,,,,,JAN-JUN,2021.0,,,,,17.0,29.0,,http://dx.doi.org/10.4013/arq.2021.171.02,,,,,,,,,,,,,WOS:000610063100002,View Full Record in Web of Science,,
"Li, SF",,,Modeling and Analysis of Pedestrian Movement during Weekends,,,,,,,,,,10.1109/ICACEH54312.2021.9768846,,,,,C,,"Meen, TH",,"Li, Shaofu",,,"PROCEEDINGS OF THE 3RD IEEE INTERNATIONAL CONFERENCE ON ARCHITECTURE, CONSTRUCTION, ENVIRONMENT AND HYDRAULICS 2021",,,,"3rd IEEE International Conference on Architecture, Construction, Environment and Hydraulics","DEC 24-26, 2021","Natl United Univ, Miaoli County, TAIWAN","IEEE,IIKII,Taiwan Soc Construct Engineers,Bur Foreign Trade,Taiwan Architecure & Building Ctr",Natl United Univ,,,,,,,,"Li, Shaofu/IZQ-6074-2023; Li, Shaofu/HTM-6300-2023",,,,,,,,,,,,,,,,978-1-6654-0530-0,,,,2021.0,,,,,19.0,23.0,,http://dx.doi.org/10.1109/ICACEH54312.2021.9768846,,,,,,,,,,,,,WOS:000851401000003,View Full Record in Web of Science,,
"Bröker, KCA; Gailey, G; Tyurneva, OY; Yakovlev, YM; Sychenko, O; Dupont, JM; Vertyankin, VV; Shevtsov, E; Drozdov, KA",,,"Site-fidelity and spatial movements of western North Pacific gray whales on their summer range off Sakhalin, Russia",,,15.0,8.0,,,,,,10.1371/journal.pone.0236649,,,,,J,,,,"Broker, Koen C. A.; Gailey, Glenn; Tyurneva, Olga Yu; Yakovlev, Yuri M.; Sychenko, Olga; Dupont, Jennifer M.; Vertyankin, Vladimir V.; Shevtsov, Evgeny; Drozdov, Konstantin A.",,,PLOS ONE,,,,,,,,,,,,,,,,"Yakovlev, Yuri/AAU-8262-2021","Yakovlev, Yuri/0000-0001-5090-2502; Broker, Koen/0000-0002-5965-5517",,,,,,,,,,,,,1932-6203,,,,,Aug-14,2020.0,,,,,,,e0236649,http://dx.doi.org/10.1371/journal.pone.0236649,,,,,,,,32797058.0,,,,,WOS:000562671300051,View Full Record in Web of Science,,
"Xia, Q; Wu, WL; Li, FN; Xia, Y; Ding, XL; Lam, WHK; Chung, WH; Xu, YL",,,System design and demonstration of performance monitoring of a butterfly-shaped arch footbridge,,,28.0,7.0,,,,,,10.1002/stc.2738,,,,,J,,,,"Xia, Qi; Wu, Wang-lin; Li, Fu-nian; Xia, Yong; Ding, Xiao-li; Lam, William H. K.; Chung, Weng-hong; Xu, You-lin",,,STRUCTURAL CONTROL & HEALTH MONITORING,,,,,,,,,,,,,,,,"wang, jiaqi/JSL-7112-2023; xia, qi/JBR-8998-2023; Lam, William H.K./B-3590-2014; XU, You-Lin/B-8895-2015; Xia, Yong/A-2653-2009; Ding, Xiaoli/K-4596-2013","Lam, William H.K./0000-0002-7625-3712; XU, You-Lin/0000-0002-1460-082X; Xia, Qi/0000-0002-5355-132X; Xia, Yong/0000-0001-5319-5858; Ding, Xiaoli/0000-0002-5733-3629",,,,,,,,,,,,,1545-2255,1545-2263,,,,JUL,2021.0,,,,,,,e2738,http://dx.doi.org/10.1002/stc.2738,,Apr-21,,,,,,,,,,,WOS:000640170300001,View Full Record in Web of Science,,
"Shi, XM; Xue, SQ; Feliciani, C; Shiwakoti, N; Lin, JK; Li, DW; Ye, ZR",,,Verifying the applicability of a pedestrian simulation model to reproduce the effect of exit design on egress flow under normal and emergency conditions,,,562.0,,,,,,,10.1016/j.physa.2020.125347,,,,,J,,,,"Shi, Xiaomeng; Xue, Shuqi; Feliciani, Claudio; Shiwakoti, Nirajan; Lin, Junkai; Li, Dawei; Ye, Zhirui",,,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,,,,,,,,,,,,,,,,"Feliciani, Claudio/JWP-7035-2024; xue, shuqi/GYV-1709-2022","Feliciani, Claudio/0000-0003-0718-8707; Shiwakoti, Nirajan/0000-0003-1082-1200; Xue, Shuqi/0000-0002-6122-9947",,,,,,,,,,,,,0378-4371,1873-2119,,,,Jan-15,2021.0,,,,,,,125347,http://dx.doi.org/10.1016/j.physa.2020.125347,,,,,,,,,,,,,WOS:000588306300025,View Full Record in Web of Science,,
"Deng, JY; Andrada, RT",,,"VISITORS' SPATIAL MOVEMENT PATTERNS AND MARKET SEGMENTATION IN WASHINGTON, DC",,,25.0,1.0,,,,,,10.3727/108354220X15758301241576,,,,,J,,,,"Deng, Jinyang; Andrada, Rogelio Tucay, II",,,TOURISM ANALYSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083-5423,1943-3999,,,,,2020.0,,,,,1.0,20.0,,http://dx.doi.org/10.3727/108354220X15758301241576,,,,,,,,,,,,,WOS:000518955100001,View Full Record in Web of Science,,
"Maretto, M; Gherri, B; Maiullari, D; Vernizzi, C; Pitanti, G; Finizza, C; Monacelli, A",,,Environmental Urban Morphology: A Multidisciplinary Methodology for the Analysis of Public Spaces in Dense Urban Fabrics,,,15.0,23.0,,,,,,10.3390/su152316493,,,,,J,,,,"Maretto, Marco; Gherri, Barbara; Maiullari, Daniela; Vernizzi, Chiara; Pitanti, Greta; Finizza, Chiara; Monacelli, Alice",,,SUSTAINABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2071-1050,,,,DEC,2023.0,,,,,,,16493,http://dx.doi.org/10.3390/su152316493,,,,,,,,,,,,,WOS:001118019200001,View Full Record in Web of Science,,
"Li, ZT; Lo, SM; Ma, J; Luo, XW",,,A study on passengers' alighting and boarding process at metro platform by computer simulation,,,132.0,,,,,,,10.1016/j.tra.2019.12.017,,,,,J,,,,"Li, Zitong; Lo, S. M.; Ma, Jian; Luo, X. W.",,,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,,,,,,,,,,,,,,,,"luo, xiaowei/GON-4131-2022; Ma, J./G-2929-2011","luo, xiaowei/0000-0002-9360-7308; Ma, Jian/0000-0002-1056-8519",,,,,,,,,,,,,0965-8564,,,,,FEB,2020.0,,,,,840.0,854.0,,http://dx.doi.org/10.1016/j.tra.2019.12.017,,,,,,,,,,,,,WOS:000514014700054,View Full Record in Web of Science,,
"Hayes, S; Charlton, J; Fletcher, D; Richmond, P",,,Validation of Agent-Based Passenger Movement Modeling for Railway Stations Subject to Social Distancing During the COVID-19 Pandemic,,,,,,,,,,10.1177/03611981221093634,,,,,J,,,,"Hayes, Sam; Charlton, John; Fletcher, David; Richmond, Paul",,,TRANSPORTATION RESEARCH RECORD,,,,,,,,,,,,,,,,"Hayes, Sam/KEJ-6197-2024","Fletcher, David/0000-0002-1562-4655; Hayes, Sam/0000-0002-2831-5413; Charlton, John/0000-0001-8402-6723",,,,,,,,,,,,,0361-1981,2169-4052,,,,2022 JUN 1,2022.0,,,,,,,3.61E+15,http://dx.doi.org/10.1177/03611981221093634,,Jun-22,,,,,,,,,,,WOS:000806395400001,View Full Record in Web of Science,,
"Grassini, L; Dugheri, G",,,Mobile phone data and tourism statistics: a broken promise?,,,3.0,1.0,,,,,,10.3934/NAR.2021002,,,,,J,,,,"Grassini, Laura; Dugheri, Gianni",,,NATIONAL ACCOUNTING REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2689-3010,,,,,2021.0,,,,,50.0,68.0,,http://dx.doi.org/10.3934/NAR.2021002,,,,,,,,,,,,,WOS:000906498200002,View Full Record in Web of Science,,
"Nazemi, M; van Eggermond, MAB; Erath, A; Schaffner, D; Joos, M; Axhausen, KW",,,Studying bicyclists' perceived level of safety using a bicycle simulator combined with immersive virtual reality,,,151.0,,,,,,,10.1016/j.aap.2020.105943,,,,,J,,,,"Nazemi, M.; van Eggermond, M. A. B.; Erath, A.; Schaffner, D.; Joos, M.; Axhausen, Kay W.",,,ACCIDENT ANALYSIS AND PREVENTION,,,,,,,,,,,,,,,,"Nazemi, Mohsen/KBF-7487-2024; Nazemi, Mohsen/AAY-7754-2020","Axhausen, Kay/0000-0003-3331-1318; Erath, Alexander/0000-0002-3494-6617; van Eggermond, Michael/0000-0002-0329-7853",,,,,,,,,,,,,0001-4575,1879-2057,,,,MAR,2021.0,,,,,,,105943,http://dx.doi.org/10.1016/j.aap.2020.105943,,,,,,,,33370601.0,,,,,WOS:000618530800001,View Full Record in Web of Science,,
"Cristaldi, MA; Godoy, IN; Leveau, LM",,,Responses of Urban Bird Assemblages to Land-Sparing and Land-Sharing Development Styles in Two Argentinian Cities,,,13.0,5.0,,,,,,10.3390/ani13050894,,,,,J,,,,"Cristaldi, Maximiliano A.; Godoy, Ianina N.; Leveau, Lucas M.",,,ANIMALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076-2615,,,,,MAR,2023.0,,,,,,,894,http://dx.doi.org/10.3390/ani13050894,,,,,,,,36899750.0,,,,,WOS:000946876600001,View Full Record in Web of Science,,
"Park, K; Singleton, PA; Brewer, S; Zuban, J",,,"Pedestrians and the Built Environment during the COVID-19 Pandemic: Changing Relationships by the Pandemic Phases in Salt Lake County, Utah, USA",,,2677.0,4.0,,,,,,10.1177/03611981221083606,,,,,J,,,,"Park, Keunhyun; Singleton, Patrick A.; Brewer, Simon; Zuban, Jessica",,,TRANSPORTATION RESEARCH RECORD,,,,,,,,,,,,,,,,,"Singleton, Patrick/0000-0002-9319-2333; Brewer, Simon/0000-0002-6810-1911",,,,,,,,,,,,,0361-1981,2169-4052,,,,APR,2023.0,,,,,448.0,462.0,3.61E+15,http://dx.doi.org/10.1177/03611981221083606,,May-22,,,,,,37153183.0,,,,,WOS:000798725800001,View Full Record in Web of Science,,
"Tadeu, A; Romero, A; Dias, S; Pedro, F; Brett, M; Serra, M; Galvín, P; Bandeira, F",,,Vibration serviceability assessment of the world?s longest suspended footbridge in 2020,,,44.0,,,,,,,10.1016/j.istruc.2022.08.015,,,,,J,,,,"Tadeu, Antonio; Romero, Antonio; Dias, Sara; Pedro, Filipe; Brett, Michael; Serra, Miguel; Galvin, Pedro; Bandeira, Filipe",,,STRUCTURES,,,,,,,,,,,,,,,,"tadeu, antonio/G-6358-2019; Dias, Sara/JAC-9926-2023; Galvín, Pedro/E-6293-2010","tadeu, antonio/0000-0003-2535-8458; Brett, Michael/0000-0002-6332-1755; Santos Soares Dias, Sara Maria/0000-0001-7698-346X",,,,,,,,,,,,,2352-0124,,,,,OCT,2022.0,,,,,457.0,475.0,,http://dx.doi.org/10.1016/j.istruc.2022.08.015,,Aug-22,,,,,,,,,,,WOS:000848550200001,View Full Record in Web of Science,,
"M Prédhumeau, L Mancheva, J Dugdale",,,Agent-based modeling for predicting pedestrian trajectories around an autonomous vehicle,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journal of Artificial …,36.0
"R Subaih, M Maree, M Chraibi, S Awad",,,Experimental investigation on the alleged gender-differences in pedestrian dynamics: A study reveals no gender differences in pedestrian movement behavior,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE access,23.0
"V Papathanasopoulou, I Spyropoulou",,,A data-driven model for pedestrian behavior classification and trajectory prediction,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Open Journal …,19.0
"M Golchoubian, M Ghafurian",,,Pedestrian trajectory prediction in pedestrian-vehicle mixed environments: A systematic review,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions …,20.0
"K Babojelić, L Novacko",,,Modelling of driver and pedestrian behaviour–a historical review,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promet-Traffic&Transportation,14.0
"V Papathanasopoulou, H Perakis",,,Pedestrian Simulation Challenges: Modeling Techniques and Emerging Positioning Technologies for ITS Applications,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions …,0.0
"E Sadraei, R Romano, N Merat",,,Vehicle-pedestrian interaction: A distributed simulation study,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings of the …,15.0
"F Camara, N Bellotto, S Cosar, F Weber",,,Pedestrian models for autonomous driving part ii: high-level models of human behavior,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions …,126.0
"X Zou, B Sun, D Zhao, Z Zhu, J Zhao, Y He",,,Multi-modal pedestrian trajectory prediction for edge agents based on spatial-temporal graph,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Access,21.0
"K Chen, X Song, X Ren",,,Pedestrian trajectory prediction in heterogeneous traffic using pose keypoints-based convolutional encoder-decoder network,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,… on Circuits and Systems for Video …,23.0
"B Schwab, C Beil, TH Kolbe",,,Spatio-semantic road space modeling for vehicle–pedestrian simulation to test automated driving systems,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sustainability,23.0
"A Dehghani, L Patino-Studencki",,,Multi-Pedestrian Tracking and Map-Based Intention Estimation for Autonomous Driving Scenario.,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEHITS,0.0
"X Zhou, W Zhao, A Wang, C Wang",,,Spatiotemporal attention-based pedestrian trajectory prediction considering traffic-actor interaction,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on …,7.0
"M Gulzar, Y Muhammad, N Muhammad",,,A survey on motion prediction of pedestrians and vehicles for autonomous driving,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Access,56.0
"T Chen, T Jing, R Tian, Y Chen, J Domeyer",,,Psi: A pedestrian behavior dataset for socially intelligent autonomous car,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arXiv preprint arXiv …,16.0
"R Korbmacher, A Tordeux",,,Review of pedestrian trajectory prediction methods: Comparing deep learning and knowledge-based approaches,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on Intelligent …,71.0
"M Prédhumeau, A Spalanzani",,,Pedestrian behavior in shared spaces with autonomous vehicles: An integrated framework and review,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on …,31.0
"S El Hamdani, N Benamar, M Younis",,,A protocol for pedestrian crossing and increased vehicular flow in smart cities,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journal of Intelligent …,28.0
"A Poibrenski, M Klusch, I Vozniak",,,Multimodal multi-pedestrian path prediction for autonomous cars,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM SIGAPP Applied …,14.0
"J Zhao, JO Malenje, J Wu, R Ma",,,Modeling the interaction between vehicle yielding and pedestrian crossing behavior at unsignalized midblock crosswalks,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,… research part F: traffic psychology and …,58.0
"J Wang, H Sang, Q Liu, W Chen, Z Zhao",,,Neural differential constraint-based pedestrian trajectory prediction model in ego-centric perspective,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineering Applications of …,0.0
